[1],'1 1 trees.RandomForest 92.307692'
[2],'1 2 trees.RandomForest 87.179487'
[3],'1 3 trees.RandomForest 89.74359'
[4],'1 4 trees.RandomForest 94.871795'
[5],'1 5 trees.RandomForest 92.307692'
[6],'2 1 trees.RandomForest 82.051282'
[7],'2 2 trees.RandomForest 92.307692'
[8],'2 3 trees.RandomForest 94.871795'
[9],'2 4 trees.RandomForest 89.74359'
[10],'2 5 trees.RandomForest 94.871795'
[11],'3 1 trees.RandomForest 84.615385'
[12],'3 2 trees.RandomForest 92.307692'
[13],'3 3 trees.RandomForest 94.871795'
[14],'3 4 trees.RandomForest 92.307692'
[15],'3 5 trees.RandomForest 87.179487'
[16],'4 1 trees.RandomForest 87.179487'
[17],'4 2 trees.RandomForest 92.307692'
[18],'4 3 trees.RandomForest 89.74359'
[19],'4 4 trees.RandomForest 92.307692'
[20],'4 5 trees.RandomForest 94.871795'
[21],'5 1 trees.RandomForest 92.307692'
[22],'5 2 trees.RandomForest 89.74359'
[23],'5 3 trees.RandomForest 92.307692'
[24],'5 4 trees.RandomForest 87.179487'
[25],'5 5 trees.RandomForest 97.435897'
[26],'6 1 trees.RandomForest 89.74359'
[27],'6 2 trees.RandomForest 92.307692'
[28],'6 3 trees.RandomForest 89.74359'
[29],'6 4 trees.RandomForest 92.307692'
[30],'6 5 trees.RandomForest 94.871795'
[31],'7 1 trees.RandomForest 87.179487'
[32],'7 2 trees.RandomForest 92.307692'
[33],'7 3 trees.RandomForest 92.307692'
[34],'7 4 trees.RandomForest 92.307692'
[35],'7 5 trees.RandomForest 94.871795'
[36],'8 1 trees.RandomForest 92.307692'
[37],'8 2 trees.RandomForest 89.74359'
[38],'8 3 trees.RandomForest 92.307692'
[39],'8 4 trees.RandomForest 89.74359'
[40],'8 5 trees.RandomForest 89.74359'
[41],'9 1 trees.RandomForest 82.051282'
[42],'9 2 trees.RandomForest 94.871795'
[43],'9 3 trees.RandomForest 94.871795'
[44],'9 4 trees.RandomForest 92.307692'
[45],'9 5 trees.RandomForest 89.74359'
[46],'10 1 trees.RandomForest 89.74359'
[47],'10 2 trees.RandomForest 94.871795'
[48],'10 3 trees.RandomForest 89.74359'
[49],'10 4 trees.RandomForest 84.615385'
[50],'10 5 trees.RandomForest 87.179487'
[51],'1 1 trees.RandomTree 79.487179'
[52],'1 2 trees.RandomTree 89.74359'
[53],'1 3 trees.RandomTree 84.615385'
[54],'1 4 trees.RandomTree 87.179487'
[55],'1 5 trees.RandomTree 92.307692'
[56],'2 1 trees.RandomTree 82.051282'
[57],'2 2 trees.RandomTree 87.179487'
[58],'2 3 trees.RandomTree 92.307692'
[59],'2 4 trees.RandomTree 92.307692'
[60],'2 5 trees.RandomTree 84.615385'
[61],'3 1 trees.RandomTree 82.051282'
[62],'3 2 trees.RandomTree 84.615385'
[63],'3 3 trees.RandomTree 87.179487'
[64],'3 4 trees.RandomTree 92.307692'
[65],'3 5 trees.RandomTree 87.179487'
[66],'4 1 trees.RandomTree 92.307692'
[67],'4 2 trees.RandomTree 92.307692'
[68],'4 3 trees.RandomTree 87.179487'
[69],'4 4 trees.RandomTree 89.74359'
[70],'4 5 trees.RandomTree 82.051282'
[71],'5 1 trees.RandomTree 79.487179'
[72],'5 2 trees.RandomTree 84.615385'
[73],'5 3 trees.RandomTree 92.307692'
[74],'5 4 trees.RandomTree 84.615385'
[75],'5 5 trees.RandomTree 92.307692'
[76],'6 1 trees.RandomTree 79.487179'
[77],'6 2 trees.RandomTree 87.179487'
[78],'6 3 trees.RandomTree 84.615385'
[79],'6 4 trees.RandomTree 89.74359'
[80],'6 5 trees.RandomTree 84.615385'
[81],'7 1 trees.RandomTree 82.051282'
[82],'7 2 trees.RandomTree 87.179487'
[83],'7 3 trees.RandomTree 89.74359'
[84],'7 4 trees.RandomTree 84.615385'
[85],'7 5 trees.RandomTree 87.179487'
[86],'8 1 trees.RandomTree 87.179487'
[87],'8 2 trees.RandomTree 89.74359'
[88],'8 3 trees.RandomTree 84.615385'
